"model_name","net_weights","error_value","checksum","repo_release_tag","model_caption","arxiv_paper","test_dataset","img_size","img_scale","test_batch","remark"
"ibn_resnet50",25557032,0576,"40c420fcbbfd87bf634fc5b351746e124c32e401","v0.0.495","IBN-ResNet-50","1807.09441","in1k",224,0.875,200,NA
"ibn_resnet101",44549160,0507,"6f488f243cb02e8f4e934a390f8037cef927dcf7","v0.0.552","IBN-ResNet-101","1807.09441","in1k",224,0.875,200,NA
"ibn_resnet152",60192808,NA,NA,NA,"IBN-ResNet-152","1807.09441","in1k",224,0.875,200,NA
"ibnb_resnet50",25558568,0597,"383b44324af7bb3842b93df177bdd199864e0e8d","v0.0.552","IBN(b)-ResNet-50","1807.09441","in1k",224,0.875,200,NA
"ibnb_resnet101",44550696,NA,NA,NA,"IBN(b)-ResNet-101","1807.09441","in1k",224,0.875,200,NA
"ibnb_resnet152",60194344,NA,NA,NA,"IBN(b)-ResNet-152","1807.09441","in1k",224,0.875,200,NA
"ibn_resnext50_32x4d",25028904,NA,NA,NA,"IBN-ResNeXt-50 (32x4d)","1807.09441","in1k",224,0.875,200,NA
"ibn_resnext101_32x4d",44177704,0512,"73534cc42c9f7b1aa859b32e012c31f9ea66fd60","v0.0.553","IBN-ResNeXt-101 (32x4d)","1807.09441","in1k",224,0.875,200,NA
"ibn_resnext101_64x4d",83455272,NA,NA,NA,"IBN-ResNeXt-101 (64x4d)","1807.09441","in1k",224,0.875,200,NA
"ibn_densenet121",7978856,0673,"0ea2c535382c7a3d92e712617d8405ba631c071f","v0.0.493","IBN-DenseNet-121","1807.09441","in1k",224,0.875,200,NA
"ibn_densenet161",28681000,NA,NA,NA,"IBN-DenseNet-161","1807.09441","in1k",224,0.875,200,NA
"ibn_densenet169",14149480,0619,"ec2c0556f4fb2e2e51d49460095bf28259cb5d19","v0.0.500","IBN-DenseNet-169","1807.09441","in1k",224,0.875,200,NA
"ibn_densenet201",20013928,NA,NA,NA,"IBN-DenseNet-201","1807.09441","in1k",224,0.875,200,NA
"airnet50_1x64d_r2",27425864,0532,"398445f4059b5505e2fd5b7338fe174960f8571a","v0.0.522","AirNet50-1x64d (r=2)",NA,"in1k",224,0.875,200,NA
"airnet50_1x64d_r16",25714952,0560,"d46d344b7e4216d43dc83659afd265d11cf3e05e","v0.0.519","AirNet50-1x64d (r=16)",NA,"in1k",224,0.875,200,NA
"airnet101_1x64d_r2",51727432,NA,NA,NA,"AirNet101-1x64d (r=2)",NA,"in1k",224,0.875,200,NA
"airnext50_32x4d_r2",27604296,0515,"85f13273529e6c4192a790fc55dafa7f022376f4","v0.0.521","AirNeXt50-32x4d (r=2)",NA,"in1k",224,0.875,200,NA
